,dataset_name,model_name,mean_test_accuracy,exp_params,tot_experiment,x_type,edge_type
25,Cora,GNN,0.36,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
26,Cora,GNN,0.45,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
27,Cora,GNN,0.376,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
28,Cora,GNN,0.172,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
29,Cora,GNN,0.114,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
30,Cora,GNN,0.272,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
31,Cora,GNN,0.148,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
32,Cora,GNN,0.206,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
33,Cora,GNN,0.184,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
34,Cora,GNN,0.222,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
35,Cora,GNN,0.194,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
36,Cora,GNN,0.598,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
37,Cora,GNN,0.552,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
38,Cora,GNN,0.34,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
39,Cora,GNN,0.574,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
40,Cora,GNN,0.248,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
41,Cora,GNN,0.12,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
42,Cora,GNN,0.128,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
43,Cora,GNN,0.116,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
44,Cora,GNN,0.296,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
45,Cora,GNN,0.224,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
46,Cora,GNN,0.148,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
47,Cora,GNN,0.18,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.005, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
48,Cora,GNN,0.596,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
49,Cora,GNN,0.506,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
50,Cora,GNN,0.46,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
51,Cora,GNN,0.486,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
52,Cora,GNN,0.22,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
53,Cora,GNN,0.178,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
54,Cora,GNN,0.232,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
55,Cora,GNN,0.172,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
56,Cora,GNN,0.234,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.01, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
57,Cora,GNN,0.118,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.01, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
58,Cora,GNN,0.234,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.01, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
59,Cora,GNN,0.24,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.01, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
60,Cora,GNN,0.63,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
61,Cora,GNN,0.544,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
62,Cora,GNN,0.586,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
63,Cora,GNN,0.614,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'add', 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
64,Cora,GNN,0.23,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
65,Cora,GNN,0.114,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
66,Cora,GNN,0.128,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
67,Cora,GNN,0.084,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'mean', 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
68,Cora,GNN,0.194,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.05, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
69,Cora,GNN,0.162,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.05, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
70,Cora,GNN,0.21,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.05, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
71,Cora,GNN,0.126,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.1, 'aggr': 'max', 'lr': 0.05, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
72,Cora,GNN,0.146,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
73,Cora,GNN,0.114,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
74,Cora,GNN,0.188,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
75,Cora,GNN,0.202,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add', 'lr': 0.0001, 'weight_decay': 0.001, 'epochs': 20}",1,x,edge_index
76,Cora,GNN,0.212,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 1e-06, 'epochs': 20}",1,x,edge_index
77,Cora,GNN,0.156,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 0.0005, 'epochs': 20}",1,x,edge_index
78,Cora,GNN,0.212,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'mean', 'lr': 0.0001, 'weight_decay': 0.0001, 'epochs': 20}",1,x,edge_index
