,dataset_name,model_name,mean_test_accuracy,exp_params,tot_experiment,x_type
28,Cora,GNN,0.1356,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
29,Cora,GNN,0.1482,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
30,Cora,GNN,0.11900000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
31,Cora,GNN,0.1238,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.001, 'epochs': 25}",10,x
32,Cora,GNN,0.11280000000000001,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 1e-06, 'epochs': 25}",10,x
33,Cora,GNN,0.1362,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0005, 'epochs': 25}",10,x
34,Cora,GNN,0.151,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.0001, 'epochs': 25}",10,x
35,Cora,GNN,0.11560000000000001,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.001, 'weight_decay': 0.001, 'epochs': 25}",10,x
36,Cora,GNN,0.19680000000000003,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 1e-06, 'epochs': 25}",10,x
37,Cora,GNN,0.19260000000000002,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 0.0005, 'epochs': 25}",10,x
38,Cora,GNN,0.1346,"{'in_channels': 1433, 'out_channels': 7, 'hidden_channels': 5, 'num_layers': 2, 'dropout': 0.2, 'lr': 0.005, 'weight_decay': 0.0001, 'epochs': 25}",10,x
