,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
10,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.99__bidirectional-False,0.699,"0.666,0.714,0.638,0.748,0.728",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.99,False
11,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-1__bidirectional-False,0.709,"0.663,0.754,0.648,0.72,0.759",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,1,False
12,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0__bidirectional-False,0.782,"0.774,0.789,0.758,0.781,0.809",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0,False
13,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.01__bidirectional-False,0.748,"0.724,0.746,0.756,0.724,0.79",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.01,False
14,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.05__bidirectional-False,0.756,"0.768,0.751,0.751,0.753,0.759",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.05,False
15,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.1__bidirectional-False,0.757,"0.742,0.78,0.742,0.752,0.768",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.1,False
16,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.15__bidirectional-False,0.774,"0.796,0.746,0.752,0.778,0.799",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.15,False
17,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.3__bidirectional-False,0.784,"0.789,0.782,0.776,0.786,0.785",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.3,False
18,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.45__bidirectional-False,0.754,"0.74,0.773,0.725,0.733,0.801",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.45,False
19,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.6__bidirectional-False,0.745,"0.778,0.754,0.723,0.748,0.72",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.6,False
