,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
10,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.99__bidirectional-True,0.761,"0.775,0.758,0.763,0.764,0.746",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.99,True
11,Cora,GNN,x,noise_type-edge_removal__strategy-all_edges__noise_level-1__bidirectional-True,0.779,"0.79,0.777,0.777,0.78,0.772",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,1,True
12,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0__bidirectional-True,0.762,"0.788,0.744,0.77,0.774,0.733",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0,True
13,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.01__bidirectional-True,0.741,"0.769,0.782,0.755,0.635,0.762",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.01,True
14,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.05__bidirectional-True,0.76,"0.761,0.773,0.743,0.748,0.774",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.05,True
15,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.1__bidirectional-True,0.782,"0.802,0.783,0.76,0.787,0.776",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.1,True
16,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.15__bidirectional-True,0.762,"0.792,0.776,0.762,0.74,0.739",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.15,True
17,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.3__bidirectional-True,0.735,"0.708,0.773,0.767,0.658,0.77",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.3,True
18,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.45__bidirectional-True,0.77,"0.753,0.758,0.773,0.799,0.769",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.45,True
19,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.6__bidirectional-True,0.759,"0.727,0.747,0.72,0.786,0.813",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.6,True
20,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.9__bidirectional-True,0.776,"0.747,0.774,0.798,0.803,0.757",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.9,True
21,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.95__bidirectional-True,0.747,"0.767,0.737,0.744,0.745,0.741",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.95,True
22,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-0.99__bidirectional-True,0.746,"0.704,0.773,0.769,0.74,0.746",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,0.99,True
23,Cora,GAT,x,noise_type-edge_removal__strategy-all_edges__noise_level-1__bidirectional-True,0.772,"0.76,0.762,0.791,0.778,0.77",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'edge_removal', 'strategy': 'all_edges', 'params': {'bidirectional': True, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_remove_ratio'}",edge_removal,all_edges,1,True
