,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,noise_level
10,Cora,GNN,noise_type-feature_noise__noise_level-0.99,edge_index,0.152,"0.167,0.156,0.152,0.142,0.144",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.99
11,Cora,GNN,noise_type-feature_noise__noise_level-1,edge_index,0.194,"0.215,0.295,0.15,0.149,0.161",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,1
12,Cora,GAT,noise_type-feature_noise__noise_level-0,edge_index,0.753,"0.779,0.738,0.759,0.777,0.712",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0
13,Cora,GAT,noise_type-feature_noise__noise_level-0.01,edge_index,0.517,"0.583,0.576,0.317,0.548,0.562",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.01
14,Cora,GAT,noise_type-feature_noise__noise_level-0.05,edge_index,0.205,"0.117,0.264,0.108,0.182,0.352",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.05
15,Cora,GAT,noise_type-feature_noise__noise_level-0.1,edge_index,0.309,"0.265,0.348,0.466,0.336,0.131",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.1
16,Cora,GAT,noise_type-feature_noise__noise_level-0.15,edge_index,0.274,"0.132,0.334,0.145,0.419,0.338",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.15
17,Cora,GAT,noise_type-feature_noise__noise_level-0.3,edge_index,0.28,"0.153,0.324,0.318,0.274,0.331",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.3
18,Cora,GAT,noise_type-feature_noise__noise_level-0.45,edge_index,0.126,"0.144,0.144,0.064,0.144,0.133",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.45
19,Cora,GAT,noise_type-feature_noise__noise_level-0.6,edge_index,0.114,"0.153,0.103,0.103,0.147,0.065",25,5,"{'in_channels': 1433, 'hidden_channels': 15, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.6
