,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,noise_level
0,Cora,GNN,noise_type-feature_noise__noise_level-0,edge_index,0.799,"0.796,0.79,0.809,0.812,0.79",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0
1,Cora,GNN,noise_type-feature_noise__noise_level-0.01,edge_index,0.786,"0.791,0.797,0.783,0.773,0.784",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.01
2,Cora,GNN,noise_type-feature_noise__noise_level-0.05,edge_index,0.728,"0.716,0.734,0.734,0.736,0.721",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.05
3,Cora,GNN,noise_type-feature_noise__noise_level-0.1,edge_index,0.659,"0.629,0.699,0.7,0.621,0.645",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.1
4,Cora,GNN,noise_type-feature_noise__noise_level-0.15,edge_index,0.474,"0.465,0.475,0.465,0.517,0.448",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.15
5,Cora,GNN,noise_type-feature_noise__noise_level-0.3,edge_index,0.11,"0.119,0.129,0.102,0.111,0.09",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.3
6,Cora,GNN,noise_type-feature_noise__noise_level-0.45,edge_index,0.073,"0.066,0.066,0.066,0.1,0.066",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.45
7,Cora,GNN,noise_type-feature_noise__noise_level-0.6,edge_index,0.315,"0.215,0.338,0.344,0.343,0.336",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.6
8,Cora,GNN,noise_type-feature_noise__noise_level-0.9,edge_index,0.214,"0.319,0.155,0.149,0.317,0.13",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.9
9,Cora,GNN,noise_type-feature_noise__noise_level-0.95,edge_index,0.244,"0.319,0.131,0.314,0.318,0.139",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'feature_noise', 'params': {'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'noise_level'}",feature_noise,0.95
