,dataset_name,model_name,x_type,edge_type,mean_test_accuracy,test_accuracies,num_epochs,repeat_num,model_params,noise_info,noise_type,strategy,noise_level,bidirectional
0,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0__bidirectional-False,0.803,"0.798,0.808,0.802,0.801,0.808",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0,False
1,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.01__bidirectional-False,0.795,"0.795,0.798,0.792,0.804,0.787",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.01,False
2,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.05__bidirectional-False,0.78,"0.794,0.785,0.764,0.776,0.781",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.05,False
3,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.1__bidirectional-False,0.778,"0.784,0.767,0.774,0.789,0.774",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.1,False
4,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.15__bidirectional-False,0.762,"0.775,0.746,0.762,0.76,0.768",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.15,False
5,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.3__bidirectional-False,0.766,"0.769,0.759,0.762,0.777,0.765",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.3,False
6,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.45__bidirectional-False,0.762,"0.757,0.767,0.769,0.754,0.763",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.45,False
7,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.6__bidirectional-False,0.757,"0.764,0.769,0.754,0.746,0.751",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.6,False
8,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.9__bidirectional-False,0.727,"0.72,0.716,0.725,0.734,0.741",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.9,False
9,Cora,GNN,x,noise_type-edge_addition__strategy-all_edges__noise_level-0.95__bidirectional-False,0.744,"0.764,0.737,0.704,0.759,0.758",25,5,"{'in_channels': 1433, 'hidden_channels': 30, 'out_channels': 7, 'num_layers': 2, 'dropout': 0.2, 'aggr': 'add'}","{'noise_type': 'edge_addition', 'strategy': 'all_edges', 'params': {'bidirectional': False, 'noise_level': 1}, 'noise_levels': [0, 0.01, 0.05, 0.1, 0.15, 0.3, 0.45, 0.6, 0.9, 0.95, 0.99, 1], 'noise_param_name': 'edges_to_add_ratio'}",edge_addition,all_edges,0.95,False
